method,tier,level,hardness,aggregation,n_queries,precision,recall,f1,f6,srr,hallucination_rate
lexical,tier1,tables,all,macro,1034,0.8420373952288847,0.7851386202450031,0.7370728562217924,0.7865751347858925,0.7147001934235977,0.0
lexical,tier1,columns,all,macro,1034,0.4033365965809555,0.8632817537072857,0.4841544035983993,0.8374706663201227,0.7678916827852998,0.0
lexical,tier2,tables,all,macro,1034,0.85001611863314,0.7786911669890393,0.7360827116146265,0.7804611287276764,0.6992263056092843,0.0
lexical,tier2,columns,all,macro,1034,0.494093224210229,0.7631136593902552,0.5280214383462464,0.7520469224440538,0.5541586073500967,0.0
embedding,tier1,tables,all,macro,1034,0.6619922630560928,0.8847517730496454,0.7307221147646679,0.8767778655470555,0.7911025145067698,0.0
embedding,tier1,columns,all,macro,1034,0.4300451321727917,0.793745970341715,0.5135120198949987,0.7760083667244984,0.6470019342359767,0.0
embedding,tier2,tables,all,macro,1034,0.6784332688588007,0.8802385557704706,0.7372985170857511,0.8732184030691003,0.7717601547388782,0.0
embedding,tier2,columns,all,macro,1034,0.5635074145712442,0.7214838353136226,0.5731293314465461,0.716058340922095,0.4690522243713733,0.0
llm_forward,tier1,tables,all,macro,1034,0.906576402321083,0.9877498388136686,0.932145159804734,0.9853652963507978,0.9738878143133464,0.0
llm_forward,tier1,columns,all,macro,1034,0.676895090724878,0.9555931656995486,0.7412127148587497,0.9450765053669046,0.9158607350096712,0.0
llm_forward,tier2,tables,all,macro,1034,0.9354287556415216,0.9977433913604128,0.9568343004513218,0.9959502469619496,0.9970986460348162,0.0
llm_forward,tier2,columns,all,macro,1034,0.8529381965552179,0.8625472045684812,0.8145404133798718,0.8622846558360252,0.6769825918762089,0.0
llm_backward,tier1,tables,all,macro,1034,0.948533204384268,0.9777562862669248,0.953099382886617,0.9769428174740172,0.9574468085106383,0.0028100150440575
llm_backward,tier1,columns,all,macro,1034,0.666911900156581,0.9515635074145712,0.7387100488164319,0.9407117514510768,0.9274661508704062,0.0028100150440575
llm_backward,tier2,tables,all,macro,1034,0.9798839458413926,0.9892005157962606,0.9801418439716312,0.9889463878472702,0.983558994197292,0.0028100150440575
llm_backward,tier2,columns,all,macro,1034,0.9307186607718522,0.9675762181081328,0.9389740310194856,0.9665417264051258,0.9226305609284332,0.0028100150440575
llm_bidirectional,tier1,tables,all,macro,1034,0.9054480980012896,0.9877498388136686,0.9313392281477388,0.9853292272609572,0.9738878143133464,0.0026327100795185
llm_bidirectional,tier1,columns,all,macro,1034,0.595830681783293,0.9723565441650548,0.6822862877505044,0.9560282450300356,0.9506769825918762,0.0026327100795185
llm_bidirectional,tier2,tables,all,macro,1034,0.934300451321728,0.9977433913604128,0.9560283687943264,0.9959156380897332,0.9970986460348162,0.0026327100795185
llm_bidirectional,tier2,columns,all,macro,1034,0.8435690840429718,0.9859272819379205,0.8794227693647423,0.9814508841415616,0.9593810444874274,0.0026327100795185
graph,tier1,tables,all,macro,1034,0.9288684719535782,0.986621534493875,0.9457861287648522,0.984966372610269,0.970019342359768,0.0
graph,tier1,columns,all,macro,1034,0.6982868195634153,0.9580915538362348,0.7572962981570333,0.9485532052959316,0.9168278529980658,0.0
graph,tier2,tables,all,macro,1034,0.958204384268214,0.9962927143778209,0.9702818458137608,0.9952235297891903,0.9922630560928434,0.0
graph,tier2,columns,all,macro,1034,0.8601132909643548,0.8463560375794419,0.8079009213438613,0.8467220663571478,0.6528046421663443,0.0
